         3736770 function calls (3535359 primitive calls) in 18.023 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   2355/1    0.021    0.000   18.030   18.030 {built-in method builtins.exec}
        1    0.024    0.024   18.030   18.030 Blaze_profile.py:9(<module>)
     2155    0.020    0.000   12.265    0.006 training.py:1302(predict)
     2155    0.082    0.000   11.858    0.006 training_arrays.py:231(predict_loop)
     2155    0.010    0.000   11.588    0.005 tensorflow_backend.py:2958(__call__)
     2155    0.032    0.000   11.316    0.005 tensorflow_backend.py:2894(_call)
     2155    0.008    0.000   11.035    0.005 session.py:1464(__call__)
     2155   11.027    0.005   11.027    0.005 {built-in method _pywrap_tensorflow_internal.TF_SessionRunCallable}
      121    0.001    0.000    8.172    0.068 __init__.py:1(<module>)
       26    0.002    0.000    3.612    0.139 __init__.py:15(<module>)
       11    0.000    0.000    3.103    0.282 __init__.py:16(<module>)
   2570/6    0.017    0.000    2.836    0.473 <frozen importlib._bootstrap>:978(_find_and_load)
   2557/4    0.009    0.000    2.836    0.709 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
   2133/4    0.008    0.000    2.834    0.708 <frozen importlib._bootstrap>:663(_load_unlocked)
   2021/4    0.005    0.000    2.834    0.708 <frozen importlib._bootstrap_external>:722(exec_module)
   1609/6    0.003    0.000    2.825    0.471 {built-in method builtins.__import__}
25524/484    0.020    0.000    2.822    0.006 <frozen importlib._bootstrap>:1009(_handle_fromlist)
   3496/4    0.002    0.000    2.822    0.705 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    2.375    2.375 conv_utils.py:2(<module>)
        1    0.000    0.000    2.371    2.371 load_backend.py:1(<module>)
        1    0.000    0.000    2.361    2.361 tensorflow_backend.py:1(<module>)
495447/446107    0.091    0.000    1.984    0.000 {built-in method builtins.hasattr}
        2    0.001    0.000    1.964    0.982 __init__.py:25(<module>)
     17/3    0.000    0.000    1.905    0.635 __init__.py:49(__getattr__)
