         1441894 function calls (1343749 primitive calls) in 26.781 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   2277/1    0.022    0.000   26.783   26.783 {built-in method builtins.exec}
        1    0.033    0.033   26.783   26.783 TFlite_profile.py:15(<module>)
     2155    0.004    0.000   23.578    0.011 interpreter.py:440(invoke)
     2155    0.002    0.000   23.569    0.011 tensorflow_wrap_interpreter_wrapper.py:108(Invoke)
     2155   23.567    0.011   23.567    0.011 {built-in method _tensorflow_wrap_interpreter_wrapper.InterpreterWrapper_Invoke}
       26    0.002    0.000    4.051    0.156 __init__.py:15(<module>)
       11    0.000    0.000    3.410    0.310 __init__.py:16(<module>)
   2487/4    0.017    0.000    2.804    0.701 <frozen importlib._bootstrap>:978(_find_and_load)
   2476/4    0.009    0.000    2.804    0.701 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
   2056/5    0.008    0.000    2.802    0.560 <frozen importlib._bootstrap>:663(_load_unlocked)
   1943/5    0.005    0.000    2.802    0.560 <frozen importlib._bootstrap_external>:722(exec_module)
   3384/5    0.002    0.000    2.800    0.560 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
24141/735    0.012    0.000    2.748    0.004 <frozen importlib._bootstrap>:1009(_handle_fromlist)
 1571/161    0.003    0.000    2.695    0.017 {built-in method builtins.__import__}
        2    0.001    0.000    2.230    1.115 __init__.py:25(<module>)
69883/18782    0.025    0.000    2.177    0.000 {built-in method builtins.hasattr}
     18/4    0.000    0.000    2.169    0.542 __init__.py:109(import_module)
     19/4    0.000    0.000    2.169    0.542 <frozen importlib._bootstrap>:994(_gcd_import)
     17/3    0.000    0.000    2.167    0.722 __init__.py:49(__getattr__)
     17/3    0.000    0.000    2.167    0.722 __init__.py:42(_load)
     1943    0.019    0.000    1.010    0.001 <frozen importlib._bootstrap_external>:793(get_code)
        2    0.000    0.000    0.692    0.346 __init__.py:19(<module>)
     1943    0.613    0.000    0.686    0.000 <frozen importlib._bootstrap_external>:914(get_data)
    10749    0.538    0.000    0.538    0.000 {built-in method nt.stat}
     2452    0.018    0.000    0.522    0.000 <frozen importlib._bootstrap>:882(_find_spec)
     3623    0.031    0.000    0.519    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
    10175    0.006    0.000    0.519    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
        1    0.001    0.001    0.514    0.514 standard_ops.py:17(<module>)
        1    0.000    0.000    0.503    0.503 activations.py:15(<module>)
     2431    0.002    0.000    0.493    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
2432/2431    0.008    0.000    0.491    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
        2    0.000    0.000    0.460    0.230 graph_pb2.py:5(<module>)
        1    0.000    0.000    0.428    0.428 __init__.py:33(<module>)
      196    0.006    0.000    0.392    0.002 __init__.py:4(<module>)
        1    0.000    0.000    0.373    0.373 multi_gpu_utils.py:15(<module>)
        4    0.000    0.000    0.367    0.092 __init__.py:17(<module>)
        2    0.000    0.000    0.314    0.157 __init__.py:3233(_call_aside)
        1    0.000    0.000    0.314    0.314 __init__.py:3250(_initialize_master_working_set)
        3    0.000    0.000    0.307    0.102 __init__.py:27(<module>)
        2    0.000    0.000    0.272    0.136 __init__.py:18(<module>)
        1    0.000    0.000    0.248    0.248 framework_lib.py:17(<module>)
        3    0.000    0.000    0.225    0.075 __init__.py:20(<module>)
        1    0.000    0.000    0.219    0.219 input_layer.py:17(<module>)
        1    0.000    0.000    0.217    0.217 control_flow.py:56(<module>)
        1    0.000    0.000    0.216    0.216 distributed_training_utils.py:15(<module>)
        1    0.000    0.000    0.215    0.215 py_builtins.py:18(<module>)
