         3031009 function calls (2949432 primitive calls) in 18.465 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   2851/1    0.027    0.000   18.478   18.478 {built-in method builtins.exec}
        1    0.027    0.027   18.478   18.478 Blaze_profile.py:9(<module>)
     2155    0.029    0.000   13.025    0.006 training.py:1363(predict)
     2155    0.128    0.000   12.397    0.006 training_arrays.py:223(predict_loop)
     2155    0.030    0.000   12.000    0.006 backend.py:3719(__call__)
     2155    0.002    0.000   10.595    0.005 function.py:1058(__call__)
     2155    0.014    0.000   10.592    0.005 function.py:1083(_call_impl)
     2155    0.046    0.000   10.562    0.005 function.py:1143(_call_flat)
     2155    0.036    0.000   10.446    0.005 function.py:471(call)
     2176    0.007    0.000   10.406    0.005 execute.py:33(quick_execute)
     2176   10.396    0.005   10.396    0.005 {built-in method _pywrap_tensorflow_internal.TFE_Py_Execute}
      134    0.001    0.000    7.268    0.054 __init__.py:1(<module>)
38121/5700    0.022    0.000    2.517    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
   2723/7    0.019    0.000    2.513    0.359 <frozen importlib._bootstrap>:978(_find_and_load)
   2710/4    0.010    0.000    2.513    0.628 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
   1867/6    0.004    0.000    2.511    0.419 {built-in method builtins.__import__}
   2293/4    0.009    0.000    2.511    0.628 <frozen importlib._bootstrap>:663(_load_unlocked)
   2188/4    0.006    0.000    2.511    0.628 <frozen importlib._bootstrap_external>:722(exec_module)
   3934/4    0.002    0.000    2.509    0.627 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        3    0.000    0.000    2.374    0.791 __init__.py:27(<module>)
       11    0.000    0.000    2.350    0.214 __init__.py:16(<module>)
        1    0.000    0.000    2.086    2.086 conv_utils.py:2(<module>)
        1    0.000    0.000    2.084    2.084 load_backend.py:1(<module>)
        1    0.000    0.000    2.077    2.077 tensorflow_backend.py:1(<module>)
   115/92    0.001    0.000    1.825    0.020 tensorflow_backend.py:71(symbolic_fn_wrapper)
       90    0.002    0.000    1.679    0.019 base_layer.py:413(__call__)
        2    0.001    0.000    1.600    0.800 __init__.py:25(<module>)
     19/7    0.000    0.000    1.522    0.217 __init__.py:109(import_module)
     16/4    0.000    0.000    1.522    0.380 __init__.py:49(__getattr__)
     16/4    0.000    0.000    1.522    0.380 __init__.py:42(_load)
     19/7    0.000    0.000    1.522    0.217 <frozen importlib._bootstrap>:994(_gcd_import)
       66    0.000    0.000    1.437    0.022 base_layer.py:250(add_weight)
       21    0.000    0.000    1.365    0.065 convolutional.py:126(build)
       37    0.001    0.000    1.287    0.035 initializers.py:210(__call__)
       37    0.000    0.000    1.285    0.035 tensorflow_backend.py:4332(random_uniform)
       37    0.000    0.000    1.280    0.035 backend.py:5577(random_uniform)
       37    0.001    0.000    1.280    0.035 random_ops.py:186(random_uniform)
3200/3122    0.021    0.000    1.203    0.000 ops.py:1249(internal_convert_to_tensor)
     2774    0.003    0.000    1.159    0.000 ops.py:1187(convert_to_tensor_v2)
     2748    0.005    0.000    1.150    0.000 ops.py:1127(convert_to_tensor)
     2155    0.007    0.000    1.103    0.001 backend.py:3748(<listcomp>)
     4488    1.098    0.000    1.098    0.000 {method '_numpy' of 'tensorflow.python.framework.ops.EagerTensor' objects}
     2458    0.003    0.000    1.087    0.000 constant_op.py:164(constant)
     2458    0.007    0.000    1.084    0.000 constant_op.py:230(_constant_impl)
     2379    0.079    0.000    1.030    0.000 constant_op.py:68(convert_to_eager_tensor)
       87    0.000    0.000    0.965    0.011 constant_op.py:283(_constant_tensor_conversion_function)
     5200    0.008    0.000    0.951    0.000 context.py:474(ensure_initialized)
       37    0.000    0.000    0.945    0.026 tensor_util.py:952(shape_tensor)
       25    0.001    0.000    0.787    0.031 __init__.py:15(<module>)
        1    0.713    0.713    0.713    0.713 {built-in method _pywrap_tensorflow_internal.TFE_NewContext}
     2691    0.018    0.000    0.711    0.000 <frozen importlib._bootstrap>:882(_find_spec)
     9940    0.692    0.000    0.692    0.000 {built-in method nt.stat}
     9844    0.007    0.000    0.689    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
     2670    0.002    0.000    0.682    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
2671/2670    0.008    0.000    0.680    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
     2188    0.021    0.000    0.648    0.000 <frozen importlib._bootstrap_external>:793(get_code)
     3201    0.030    0.000    0.641    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
        1    0.001    0.001    0.467    0.467 standard_ops.py:17(<module>)
       75    0.432    0.006    0.433    0.006 {built-in method numpy.fromfile}
      192    0.006    0.000    0.402    0.002 __init__.py:4(<module>)
      739    0.396    0.001    0.396    0.001 {built-in method _pywrap_tensorflow_internal.TFE_Py_FastPathExecute}
     4455    0.006    0.000    0.346    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
     4134    0.002    0.000    0.331    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
  347/322    0.027    0.000    0.318    0.001 op_def_library.py:355(_apply_op_helper)
       37    0.000    0.000    0.301    0.008 gen_random_ops.py:771(random_uniform)
      789    0.008    0.000    0.298    0.000 ops.py:3362(_create_op_internal)
       11    0.000    0.000    0.291    0.026 Blaze_profile.py:38(blazeblock)
        2    0.000    0.000    0.290    0.145 saving.py:438(save_wrapper)
        2    0.000    0.000    0.290    0.145 __init__.py:19(<module>)
        2    0.000    0.000    0.284    0.142 __init__.py:18(<module>)
      718    0.006    0.000    0.284    0.000 func_graph.py:479(create_op)
        3    0.000    0.000    0.242    0.081 __init__.py:20(<module>)
        1    0.000    0.000    0.241    0.241 framework_lib.py:17(<module>)
        1    0.000    0.000    0.236    0.236 control_flow.py:56(<module>)
        1    0.000    0.000    0.234    0.234 py_builtins.py:18(<module>)
        2    0.000    0.000    0.230    0.115 context.py:800(config)
        4    0.000    0.000    0.229    0.057 context.py:1056(_initialize_physical_devices)
        1    0.229    0.229    0.229    0.229 {built-in method _pywrap_tensorflow_internal.TF_ListPhysicalDevices}
     2188    0.145    0.000    0.228    0.000 <frozen importlib._bootstrap_external>:914(get_data)
        1    0.000    0.000    0.222    0.222 __init__.py:82(<module>)
      789    0.016    0.000    0.218    0.000 ops.py:1640(__init__)
     2188    0.005    0.000    0.206    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
2280/2274    0.004    0.000    0.205    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
        1    0.000    0.000    0.205    0.205 np_utils.py:1(<module>)
        1    0.000    0.000    0.204    0.204 __init__.py:106(<module>)
        1    0.000    0.000    0.201    0.201 network.py:1109(save)
        1    0.000    0.000    0.201    0.201 saving.py:497(save_model)
     2188    0.197    0.000    0.197    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.191    0.191 batching.py:15(<module>)
        9    0.191    0.021    0.191    0.021 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.188    0.188 dataset_ops.py:15(<module>)
        4    0.000    0.000    0.188    0.047 __init__.py:17(<module>)
     2155    0.004    0.000    0.187    0.000 training_utils.py:610(is_generator_or_sequence)
     2155    0.031    0.000    0.181    0.000 training_utils.py:596(is_sequence)
     2155    0.001    0.000    0.178    0.000 training.py:363(_make_predict_function)
        1    0.000    0.000    0.177    0.177 activations.py:15(<module>)
