         1248401 function calls (1153009 primitive calls) in 14.355 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   2590/1    0.022    0.000   14.358   14.358 {built-in method builtins.exec}
        1    2.527    2.527   14.358   14.358 TFLite.py:15(<module>)
      308    0.001    0.000    6.350    0.021 interpreter.py:440(invoke)
      308    0.001    0.000    6.348    0.021 tensorflow_wrap_interpreter_wrapper.py:108(Invoke)
      308    6.347    0.021    6.347    0.021 {built-in method _tensorflow_wrap_interpreter_wrapper.InterpreterWrapper_Invoke}
      136    0.001    0.000    6.221    0.046 __init__.py:1(<module>)
       25    0.002    0.000    2.906    0.116 __init__.py:15(<module>)
   2464/5    0.016    0.000    2.302    0.460 <frozen importlib._bootstrap>:978(_find_and_load)
   2452/5    0.008    0.000    2.302    0.460 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
   2034/6    0.007    0.000    2.299    0.383 <frozen importlib._bootstrap>:663(_load_unlocked)
   1927/6    0.005    0.000    2.299    0.383 <frozen importlib._bootstrap_external>:722(exec_module)
   3416/6    0.002    0.000    2.297    0.383 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
  1603/16    0.003    0.000    2.261    0.141 {built-in method builtins.__import__}
 25680/97    0.012    0.000    2.260    0.023 <frozen importlib._bootstrap>:1009(_handle_fromlist)
       11    0.000    0.000    2.119    0.193 __init__.py:16(<module>)
      308    1.895    0.006    1.895    0.006 {method 'read' of 'cv2.VideoCapture' objects}
        1    0.000    0.000    1.889    1.889 conv_utils.py:2(<module>)
        1    0.000    0.000    1.887    1.887 load_backend.py:1(<module>)
        1    0.000    0.000    1.880    1.880 tensorflow_backend.py:1(<module>)
        2    0.001    0.000    1.408    0.704 __init__.py:25(<module>)
70808/24474    0.024    0.000    1.362    0.000 {built-in method builtins.hasattr}
     19/5    0.000    0.000    1.353    0.271 __init__.py:109(import_module)
     20/5    0.000    0.000    1.353    0.271 <frozen importlib._bootstrap>:994(_gcd_import)
     17/3    0.000    0.000    1.350    0.450 __init__.py:49(__getattr__)
     17/3    0.000    0.000    1.350    0.450 __init__.py:42(_load)
     1927    0.019    0.000    0.893    0.000 <frozen importlib._bootstrap_external>:793(get_code)
      210    0.006    0.000    0.622    0.003 __init__.py:4(<module>)
     1927    0.517    0.000    0.585    0.000 <frozen importlib._bootstrap_external>:914(get_data)
      309    0.561    0.002    0.561    0.002 {method 'astype' of 'numpy.ndarray' objects}
     2433    0.014    0.000    0.485    0.000 <frozen importlib._bootstrap>:882(_find_spec)
     2412    0.002    0.000    0.461    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
2413/2412    0.007    0.000    0.459    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
        4    0.000    0.000    0.449    0.112 __init__.py:17(<module>)
     8440    0.005    0.000    0.434    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
     8519    0.433    0.000    0.433    0.000 {built-in method nt.stat}
        1    0.001    0.001    0.418    0.418 standard_ops.py:17(<module>)
     2965    0.023    0.000    0.416    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
      308    0.384    0.001    0.384    0.001 {waitKey}
        2    0.000    0.000    0.285    0.142 __init__.py:19(<module>)
        2    0.000    0.000    0.269    0.135 __init__.py:27(<module>)
        2    0.000    0.000    0.239    0.119 __init__.py:18(<module>)
        1    0.000    0.000    0.230    0.230 framework_lib.py:17(<module>)
        1    0.000    0.000    0.200    0.200 __init__.py:106(<module>)
        3    0.000    0.000    0.191    0.064 __init__.py:20(<module>)
        1    0.000    0.000    0.185    0.185 control_flow.py:56(<module>)
        1    0.000    0.000    0.183    0.183 py_builtins.py:18(<module>)
     3548    0.004    0.000    0.170    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
        1    0.000    0.000    0.170    0.170 activations.py:15(<module>)
        1    0.000    0.000    0.170    0.170 __init__.py:82(<module>)
2021/2015    0.003    0.000    0.164    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
     1927    0.005    0.000    0.160    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
     3248    0.002    0.000    0.157    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
     1927    0.152    0.000    0.152    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.146    0.146 multi_gpu_utils.py:15(<module>)
        1    0.000    0.000    0.137    0.137 batching.py:15(<module>)
        1    0.000    0.000    0.134    0.134 dataset_ops.py:15(<module>)
        2    0.000    0.000    0.130    0.065 graph_pb2.py:5(<module>)
        1    0.000    0.000    0.126    0.126 importer.py:15(<module>)
        1    0.000    0.000    0.125    0.125 function.py:19(<module>)
